2023-02-06 18:02:301 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:135 INFO  HomePage :38 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (bace9cb1b9044a64ac5cb2342002be74)] -> xpath: //ul[@class='top-menu notmobile']/li//a[@href='/computers']]
2023-02-06 18:02:691 INFO  HomePage :48 - Click on desktop linkProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[@href='/desktops']'
2023-02-06 18:02:832 INFO  HomePage :52 - getting text from [[ChromeDriver: chrome on WINDOWS (bace9cb1b9044a64ac5cb2342002be74)] -> xpath: //div[@class='center-2']//h1[contains(text(),'Desktops')]]
2023-02-06 18:02:920 INFO  Utils :112 - [TestNG] Running:
  C:\Users\kuldi\AppData\Local\JetBrains\IdeaIC2022.3\temp-testng-customsuite.xml

2023-02-06 18:02:298 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:341 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:223 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (2196a751c460397b528e83c3999ee028)] -> link text: Log in]
2023-02-06 18:02:734 INFO  Utils :112 - [TestNG] Running:
  C:\Users\kuldi\AppData\Local\JetBrains\IdeaIC2022.3\temp-testng-customsuite.xml

2023-02-06 18:02:817 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:860 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:890 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (6c8fa0d85f93063222b2b6ead90828c6)] -> link text: Log in]
2023-02-06 18:02:762 INFO  Utils :112 - [TestNG] Running:
  C:\HomeWork\nopcommerceweek13\src\test\java\resources\runners\testng.xml

2023-02-06 18:02:314 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:367 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:987 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (13690f8d5c1395e33e0ddda91fa7a7de)] -> link text: Log in]
2023-02-06 18:02:02 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:11 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:757 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (35d27574f2f93893a564f2cab454be65)] -> link text: Log in]
2023-02-06 18:02:866 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:876 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:484 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (5f823f44dec9c55bfd087419ccfb7d50)] -> link text: Log in]
2023-02-06 18:02:350 INFO  HomePage :143 - getting text from : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2023-02-06 18:02:333 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:342 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:240 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (921151f0c454bfae2eeabb497e43ae96)] -> link text: Log in]
2023-02-06 18:02:105 INFO  Utils :112 - [TestNG] Running:
  C:\Users\kuldi\AppData\Local\JetBrains\IdeaIC2022.3\temp-testng-customsuite.xml

2023-02-06 18:02:933 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:74 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:574 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (a440284d91e764b6a6555784e0607a22)] -> link text: Log in]
2023-02-06 18:02:958 INFO  Utils :112 - [TestNG] Running:
  C:\Users\kuldi\AppData\Local\JetBrains\IdeaIC2022.3\temp-testng-customsuite.xml

2023-02-06 18:02:69 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:115 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:751 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (5085d5aa79aac7a9268655d84acb3de6)] -> link text: Log in]
2023-02-06 18:02:378 INFO  Utils :112 - [TestNG] Running:
  C:\HomeWork\nopcommerceweek13\src\test\java\resources\runners\testng.xml

2023-02-06 18:02:762 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:806 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
